type,canonical_path,status
marketing,/,indexable
marketing,/platform,indexable
marketing,/platform/client-portal,indexable
marketing,/platform/claim-tracking,indexable
marketing,/platform/communication-hub,indexable
marketing,/platform/billing-payments,indexable
marketing,/platform/ai-claim-analysis,indexable
marketing,/solutions/roofing,indexable
marketing,/solutions/water-damage,indexable
marketing,/solutions/fire-damage,indexable
marketing,/solutions/mold,indexable
marketing,/solutions/contents,indexable
marketing,/resources/blog,indexable
marketing,/case-studies,indexable
marketing,/resources/guides,indexable
marketing,/faq,indexable
marketing,/about,indexable
marketing,/partner-network,indexable
marketing,/reviews,indexable
marketing,/contact,indexable
marketing,/pricing,indexable
blog_category,/resources/blog/category/insurance-supplementing,indexable
blog_category,/resources/blog/category/roofing-claims,indexable
blog_category,/resources/blog/category/water-damage-claims,indexable
blog_category,/resources/blog/category/fire-damage-claims,indexable
blog_category,/resources/blog/category/xactimate,indexable
blog_category,/resources/blog/category/claim-documentation,indexable
blog_category,/resources/blog/category/contractor-operations,indexable
blog_category,/resources/blog/category/public-adjusters,indexable
blog_category,/resources/blog/category/insurance-estimating,indexable
blog_category,/resources/blog/category/claim-recovery,indexable
blog_post,/resources/blog/insurance-supplementing-guide-contractors,indexable
blog_post,/resources/blog/why-carrier-estimates-miss-line-items,indexable
blog_post,/resources/blog/recover-revenue-without-in-house-claims,indexable
blog_post,/resources/blog/what-is-a-roof-supplement,indexable
blog_post,/resources/blog/roofing-supplement-playbook,indexable
blog_post,/resources/blog/water-damage-mitigation-supplement-playbook,indexable
blog_post,/resources/blog/dry-log-documentation-guide-insurance-claims,indexable
blog_post,/resources/blog/moisture-mapping-best-practices-insurance-claims,indexable
blog_post,/resources/blog/why-water-mitigation-claims-get-underpaid,indexable
blog_post,/resources/blog/water-damage-supplement-denial-recovery,indexable
blog_post,/resources/blog/equipment-charges-water-damage-claims,indexable
blog_post,/resources/blog/daily-monitoring-documentation-best-practices,indexable
blog_post,/resources/blog/why-fire-damage-claims-get-underpaid,indexable
blog_post,/resources/blog/fire-damage-claim-documentation-guide,indexable
blog_post,/resources/blog/fire-damage-supplement-playbook-for-contractors,indexable
blog_post,/resources/blog/smoke-and-soot-damage-documentation-guide,indexable
blog_post,/resources/blog/hvac-contamination-in-fire-damage-claims,indexable
blog_post,/resources/blog/fire-damage-supplement-denial-recovery,indexable
blog_post,/resources/blog/odor-mitigation-in-fire-damage-claims,indexable
blog_post,/resources/blog/op-on-insurance-claims,indexable
blog_post,/resources/blog/supplement-denial-recovery-guide,indexable
blog_post,/resources/blog/first-48-hours-after-carrier-estimate,indexable
blog_post,/resources/blog/xactimate-estimate-review-checklist-contractors,indexable
blog_post,/resources/blog/xactimate-vs-market-pricing,indexable
blog_post,/resources/blog/when-to-bring-in-supplementing-partner,indexable
blog_post,/resources/blog/claim-documentation-approval-rates,indexable
guide,/resources/guides/general-claims/first-48-hours-checklist,indexable
guide,/resources/guides/general-claims/claim-file-audit-guide,indexable
guide,/resources/guides/general-claims/supplement-submission-guide,indexable
guide,/resources/guides/general-claims/carrier-estimate-review-guide,indexable
guide,/resources/guides/general-claims/op-qualification-guide,indexable
guide,/resources/guides/general-claims/documentation-standards-guide,indexable
guide,/resources/guides/general-claims/photo-documentation-standards-guide,indexable
guide,/resources/guides/roofing-claims/roofing-supplement-checklist,indexable
guide,/resources/guides/roofing-claims/roofing-documentation-guide,indexable
guide,/resources/guides/roofing-claims/reinspection-preparation-guide,indexable
guide,/resources/guides/roofing-claims/code-upgrade-documentation-guide,indexable
guide,/resources/guides/roofing-claims/steep-high-documentation-guide,indexable
guide,/resources/guides/roofing-claims/roof-measurement-documentation-guide,indexable
guide,/resources/guides/water-damage/mitigation-intake-checklist,indexable
guide,/resources/guides/water-damage/dry-log-collection-guide,indexable
guide,/resources/guides/water-damage/moisture-mapping-guide,indexable
guide,/resources/guides/water-damage/equipment-documentation-guide,indexable
guide,/resources/guides/water-damage/daily-monitoring-guide,indexable
guide,/resources/guides/water-damage/category-class-documentation-guide,indexable
guide,/resources/guides/water-damage/contents-manipulation-documentation-guide,indexable
guide,/resources/guides/fire-damage/fire-claim-intake-guide,indexable
guide,/resources/guides/fire-damage/smoke-documentation-guide,indexable
guide,/resources/guides/fire-damage/hvac-contamination-guide,indexable
guide,/resources/guides/fire-damage/odor-documentation-guide,indexable
guide,/resources/guides/fire-damage/contents-documentation-guide,indexable
guide,/resources/guides/fire-damage/pack-out-documentation-guide,indexable
guide,/resources/guides/fire-damage/structural-stabilization-documentation-guide,indexable
guide,/resources/guides/exterior-restoration/siding-envelope-documentation-guide,indexable
guide,/resources/guides/exterior-restoration/window-door-documentation-guide,indexable
guide_category,/resources/guides/general-claims,indexable
guide_category,/resources/guides/roofing-claims,indexable
guide_category,/resources/guides/water-damage,indexable
guide_category,/resources/guides/fire-damage,indexable
guide_category,/resources/guides/exterior-restoration,indexable
